Year,Team,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG,npxG/Sh,G-xG,np:G-xG,SoTA,Saves,Save%,CS,PSxG,PSxG+/-,PKA,PKsv,PKm,Cmp,Att,Cmp%,Thr,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,AvgDist
2019,Crystal Palace,2022-12-26,20:00,Premier League,Matchweek 17,Mon,Home,W,3.0,1.0,West Ham,2.1,1.0,66.0,60125.0,Martin Ødegaard,4-3-3,Michael Oliver,Match Report,,4.0,14.0,7.0,50.0,0.29,0.57,11.2,0.0,0.0,0.0,2.9,0.22,1.1,1.1,5.0,3.0,60.0,0.0,2.2,0.2,0.0,0.0,0.0,4.0,25.0,16.0,3.0,61.3,46.7,17.0,2.0,11.8,0.0,2.8
2019,Crystal Palace,2022-12-31,17:30,Premier League,Matchweek 18,Sat,Away,W,4.0,2.0,Brighton,2.9,1.2,32.0,31647.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,0.0,17.0,4.0,23.5,0.0,0.0,17.0,0.0,0.0,0.0,1.1,0.07,-1.1,-1.1,1.0,1.0,100.0,1.0,0.3,0.3,0.0,0.0,0.0,3.0,7.0,42.9,6.0,31.6,28.5,12.0,0.0,0.0,2.0,28.5
2019,Crystal Palace,2023-01-03,19:45,Premier League,Matchweek 19,Tue,Home,D,0.0,0.0,Newcastle Utd,1.1,1.0,66.0,60319.0,Martin Ødegaard,4-3-3,Andy Madley,Match Report,,3.0,11.0,4.0,36.4,0.27,0.75,,,0.0,0.0,,,,,3.0,3.0,100.0,1.0,,,0.0,0.0,0.0,,,,,,,,,,,
2019,Crystal Palace,2023-01-09,20:00,FA Cup,Third round proper,Mon,Away,W,3.0,0.0,Oxford United,,,64.0,11538.0,Rob Holding,4-3-3,David Coote,Match Report,,1.0,14.0,5.0,35.7,0.07,0.2,17.9,2.0,0.0,0.0,1.8,0.13,-0.8,-0.8,7.0,7.0,100.0,1.0,2.5,2.5,0.0,0.0,0.0,3.0,16.0,18.8,6.0,60.9,45.1,14.0,2.0,14.3,0.0,9.0
2019,Crystal Palace,2023-01-15,16:30,Premier League,Matchweek 20,Sun,Away,W,2.0,0.0,Tottenham,1.8,1.6,49.0,61870.0,Martin Ødegaard,4-3-3,Craig Pawson,Match Report,,3.0,25.0,5.0,20.0,0.12,0.6,14.2,0.0,0.0,0.0,3.1,0.13,-0.1,-0.1,4.0,2.0,50.0,0.0,0.6,-1.4,0.0,0.0,0.0,3.0,11.0,27.3,1.0,42.3,34.5,8.0,1.0,12.5,3.0,21.8
2019,Crystal Palace,2023-01-22,16:30,Premier League,Matchweek 21,Sun,Home,W,3.0,2.0,Manchester Utd,3.1,0.4,57.0,60325.0,Martin Ødegaard,4-3-3,Anthony Taylor,Match Report,,0.0,5.0,2.0,40.0,0.0,0.0,,,0.0,0.0,,,,,2.0,1.0,50.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,
2019,Crystal Palace,2023-01-27,20:00,FA Cup,Fourth round proper,Fri,Away,L,0.0,1.0,Manchester City,,,46.0,51589.0,Granit Xhaka,4-3-3,Paul Tierney,Match Report,,0.0,15.0,2.0,13.3,0.0,0.0,17.6,0.0,0.0,0.0,0.9,0.06,-0.9,-0.9,4.0,3.0,75.0,0.0,1.1,0.1,0.0,0.0,0.0,2.0,10.0,20.0,9.0,29.6,27.6,18.0,2.0,11.1,0.0,11.4
2019,Crystal Palace,2023-02-04,12:30,Premier League,Matchweek 22,Sat,Away,L,0.0,1.0,Everton,0.9,1.7,70.0,39314.0,Martin Ødegaard,4-3-3,David Coote,Match Report,,55.0,461.0,145.0,31.5,0.12,0.37,15.9,13.0,1.0,1.0,49.8,0.12,4.7,4.2,85.0,63.0,76.5,14.0,22.7,3.7,4.0,0.0,1.0,102.0,329.0,31.0,127.0,39.0,34.9,266.0,18.0,6.8,37.0,15.7
2019,Crystal Palace,2023-02-11,15:00,Premier League,Matchweek 23,Sat,Home,,,,Brentford,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019,Crystal Palace,2023-02-15,19:30,Premier League,Matchweek 12,Wed,Home,,,,Manchester City,,,,,,,,Head-to-Head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
